uid,gini,k_mean,k_max,top1_res,top1_k2,concentration_ratio,hotspot_fraction,n,f_alpha,f_beta
Q811W0,0.9413,171.4,11666.9,159,11666.9,68.0683,0.2503,272,0.33,0.38
Q9QYM9,0.9267,86.3,5842.6,330,5842.6,67.701,0.183,370,0.27,0.48
Q62005,0.9222,60.2,4068.9,599,4068.9,67.5897,0.1092,619,0.16,0.68
P59383,0.9416,48.6,3274.7,6,3274.7,67.3807,0.0924,729,0.21,0.55
Q61483,0.9426,43.1,2892.2,553,2892.2,67.1044,0.0935,718,0.16,0.58
Q8BPG6,0.9239,31.1,2081.7,159,2081.7,66.9357,0.2202,304,0.24,0.55
Q8VI64,0.9388,40.3,2681.9,56,2681.9,66.5484,0.2385,279,0.12,0.46
Q9R0N9,0.9245,78.2,5176.0,16,5176.0,66.1893,0.1359,487,0.24,0.57
P0A7R1,0.9221,202.6,13409.9,56,13409.9,66.189,0.4565,145,0.43,0.44
Q8BH32,0.9275,55.5,3663.0,32,3663.0,66.0,0.1358,486,0.15,0.65
Q9QXE7,0.9368,79.9,5226.7,111,5226.7,65.4155,0.1251,523,0.27,0.54
Q9JJW6,0.9212,68.0,4443.4,90,4443.4,65.3441,0.3053,214,0.27,0.5
Q8BX46,0.9217,65.7,4278.9,513,4278.9,65.1279,0.0678,960,0.22,0.52
P45564,0.9206,47.5,3090.3,42,3090.3,65.0589,0.2602,250,0.14,0.7
Q8C2S7,0.9202,35.5,2304.9,394,2304.9,64.9268,0.1288,504,0.24,0.52
P17225,0.9216,50.7,3276.3,235,3276.3,64.6213,0.1173,551,0.28,0.51
P38506,0.9253,174.5,11146.1,109,11146.1,63.8745,0.2586,247,0.55,0.3
P12032,0.9356,47.3,3011.4,9,3011.4,63.666,0.3167,201,0.34,0.52
P21995,0.9213,96.1,6111.8,278,6111.8,63.5983,0.1951,326,0.24,0.6
P0AAK1,0.9287,70.0,4445.8,180,4445.8,63.5114,0.3192,199,0.36,0.44
P01590,0.9222,153.2,9703.9,250,9703.9,63.3414,0.2399,264,0.3,0.54
Q5UW37,0.9247,123.0,7787.0,108,7787.0,63.3089,0.5505,115,0.38,0.43
Q8BZT5,0.9269,61.8,3890.7,281,3890.7,62.9563,0.1749,360,0.27,0.43
Q8BTZ7,0.9307,48.6,3058.3,122,3058.3,62.928,0.1768,356,0.31,0.53
Q6PIX9,0.9234,24.4,1528.2,513,1528.2,62.6311,0.1131,554,0.11,0.52
Q8C985,0.9374,54.9,3433.6,500,3433.6,62.5428,0.1111,563,0.13,0.64
Q3MI48,0.9266,38.9,2428.9,140,2428.9,62.4396,0.1904,328,0.1,0.62
Q9CQ52,0.9212,22.3,1391.3,265,1391.3,62.3901,0.2354,265,0.18,0.64
Q6DR98,0.9309,49.8,3087.0,253,3087.0,61.988,0.0967,641,0.15,0.58
Q99NH8,0.9218,173.5,10736.4,177,10736.4,61.8813,0.2775,223,0.3,0.57
Q80YF6,0.9399,136.3,8423.5,210,8423.5,61.8012,0.228,271,0.29,0.56
Q9QYZ8,0.942,55.0,3394.1,18,3394.1,61.7109,0.242,255,0.18,0.59
Q8VIM4,0.9473,165.0,10132.3,16,10132.3,61.4079,0.2027,303,0.2,0.48
Q3TNW5,0.9434,63.9,3915.2,431,3915.2,61.2707,0.1235,496,0.13,0.52
P29812,0.9203,77.5,4734.5,327,4734.5,61.0903,0.1191,513,0.41,0.39
A2AR95,0.9267,54.0,3287.8,188,3287.8,60.8852,0.1785,341,0.23,0.48
P50294,0.9389,77.5,4706.7,264,4706.7,60.7316,0.2123,286,0.35,0.52
Q99N96,0.9226,131.8,7996.8,107,7996.8,60.6737,0.1828,332,0.34,0.51
P21841,0.9345,439.5,26581.1,40,26581.1,60.4803,0.32,189,0.41,0.43
Q60819,0.9248,99.0,5953.8,18,5953.8,60.1394,0.2322,259,0.18,0.61
P86793,0.9233,92.8,5567.4,6,5567.4,59.9935,0.4651,129,0.29,0.59
P70412,0.928,51.6,3088.8,575,3088.8,59.8605,0.0993,603,0.16,0.7
P11438,0.9369,83.1,4974.2,381,4974.2,59.858,0.1489,402,0.16,0.71
Q64HY3,0.9456,59.8,3575.2,466,3575.2,59.786,0.1246,480,0.18,0.46
Q56A07,0.9239,257.3,15321.6,162,15321.6,59.5476,0.2822,211,0.32,0.57
Q9JKP5,0.9224,195.0,11600.8,100,11600.8,59.4913,0.1765,337,0.35,0.41
P0A8W5,0.9297,41.0,2434.6,156,2434.6,59.3805,0.3245,183,0.32,0.52
Q9D0E3,0.9326,149.0,8774.0,64,8774.0,58.8859,0.2653,222,0.26,0.5
Q9D1T0,0.9371,47.0,2764.7,567,2764.7,58.8234,0.0964,610,0.23,0.54
Q8BZL8,0.9406,50.1,2937.7,134,2937.7,58.6367,0.4159,141,0.26,0.55
P06320,0.9322,51.0,2983.7,9,2983.7,58.5039,0.45,130,0.22,0.62
P45424,0.9311,33.3,1942.6,24,1942.6,58.3363,0.3889,150,0.21,0.63
Q62087,0.9266,41.5,2419.6,16,2419.6,58.3036,0.1666,350,0.24,0.63
Q9D516,0.926,127.4,7345.4,197,7345.4,57.6562,0.1513,381,0.34,0.48
P56259,0.9565,103.0,5850.0,134,5850.0,56.7961,0.3917,145,0.25,0.57
Q8BXQ3,0.9326,106.9,6061.1,320,6061.1,56.6988,0.1611,352,0.3,0.47
P13372,0.9297,147.6,8361.2,7,8361.2,56.6477,0.4105,138,0.34,0.59
Q9D780,0.9246,264.8,14955.5,245,14955.5,56.4785,0.201,281,0.29,0.58
P61110,0.9406,452.9,25402.4,12,25402.4,56.0883,0.4794,117,0.38,0.4
Q9ESL8,0.9231,36.4,2036.9,35,2036.9,55.9588,0.2757,203,0.28,0.57
P0AAJ5,0.9228,69.8,3896.2,268,3896.2,55.8195,0.1886,296,0.42,0.4
Q924A4,0.9232,238.9,13289.9,148,13289.9,55.6296,0.3477,160,0.34,0.39
Q9D1F3,0.9228,74.0,4093.3,71,4093.3,55.3149,0.3615,153,0.33,0.54
Q6RKD8,0.9291,39.7,2194.6,576,2194.6,55.2796,0.0825,670,0.22,0.54
Q8BHB3,0.921,37.9,2089.6,47,2089.6,55.1346,0.1368,403,0.07,0.57
Q9DAN6,0.9276,110.4,6043.8,79,6043.8,54.7446,0.3359,163,0.41,0.45
Q8C0P5,0.9201,60.1,3275.0,448,3275.0,54.4925,0.1048,520,0.24,0.62
P08101,0.9548,326.5,17721.3,225,17721.3,54.2766,0.1665,326,0.21,0.63
Q8VIF2,0.9201,55.7,3012.8,9,3012.8,54.0898,0.1634,331,0.23,0.61
P62897,0.9293,125.1,6751.3,9,6751.3,53.9672,0.5343,101,0.5,0.36
Q91W20,0.9277,99.2,5340.9,302,5340.9,53.8397,0.1646,327,0.36,0.42
Q99M28,0.9205,33.2,1765.0,176,1765.0,53.1627,0.1766,301,0.12,0.57
Q812B2,0.9246,61.2,3253.5,10,3253.5,53.1618,0.4219,126,0.17,0.74
D3Z1Q2,0.9254,68.9,3662.7,60,3662.7,53.1597,0.2619,203,0.19,0.53
P02816,0.931,93.6,4974.3,15,4974.3,53.1442,0.3743,142,0.22,0.7
P83503,0.9248,37.5,1989.4,463,1989.4,53.0507,0.1124,472,0.27,0.5
Q8BG47,0.9376,217.9,11473.3,176,11473.3,52.654,0.2646,199,0.33,0.48
O54864,0.9234,54.9,2889.7,122,2889.7,52.6357,0.129,408,0.31,0.52
Q99JT5,0.9256,40.6,2127.0,16,2127.0,52.3892,0.2079,252,0.12,0.55
Q8CI85,0.9211,48.8,2551.8,307,2551.8,52.291,0.1494,350,0.25,0.57
Q6PGH0,0.9241,134.4,6948.2,80,6948.2,51.6979,0.2248,230,0.32,0.53
Q8C4Q9,0.9329,345.2,17804.4,89,17804.4,51.5771,0.2914,177,0.39,0.33
Q8K4P1,0.9628,297.7,15340.3,9,15340.3,51.5294,0.4481,115,0.22,0.53
Q9D8B7,0.9506,110.3,5667.3,249,5667.3,51.3808,0.1679,306,0.2,0.64
P12025,0.9394,94.9,4847.8,10,4847.8,51.0832,0.3756,136,0.2,0.63
Q8R183,0.9274,117.6,5956.3,256,5956.3,50.6488,0.1683,301,0.2,0.66
Q8K0C5,0.9269,59.9,3026.3,9,3026.3,50.5225,0.31,163,0.23,0.62
Q922H9,0.9354,51.3,2588.3,10,2588.3,50.4542,0.1617,312,0.35,0.44
P06837,0.9435,69.2,3463.6,49,3463.6,50.052,0.2244,223,0.14,0.39
P01592,0.9326,120.6,5918.3,14,5918.3,49.0738,0.3166,155,0.28,0.58
Q9ER63,0.942,195.8,9606.4,168,9606.4,49.0623,0.2852,172,0.29,0.59
Q7TSP5,0.9207,93.8,4586.2,17,4586.2,48.8934,0.1752,279,0.22,0.64
Q922Q1,0.9252,64.3,3074.3,27,3074.3,47.8118,0.1431,334,0.31,0.53
P32972,0.9213,117.2,5592.2,57,5592.2,47.715,0.203,235,0.23,0.6
P40876,0.9279,58.3,2781.3,6,2781.3,47.7067,0.2056,232,0.15,0.7
Q6PAC3,0.9269,96.7,4597.3,417,4597.3,47.5419,0.1078,441,0.35,0.56
Q8CBR1,0.9257,44.8,2128.2,176,2128.2,47.5045,0.0891,533,0.19,0.58
Q8BWJ4,0.9256,75.6,3562.7,78,3562.7,47.1257,0.156,302,0.21,0.56
Q9JKS5,0.933,59.9,2821.7,52,2821.7,47.1068,0.1157,407,0.14,0.46
Q501J2,0.9288,280.2,12921.1,25,12921.1,46.1138,0.205,225,0.46,0.44
P0DI97,0.9255,53.3,2453.8,399,2453.8,46.0375,0.0992,464,0.16,0.56
P58019,0.9278,238.0,10857.8,72,10857.8,45.621,0.365,125,0.33,0.5
P97425,0.9374,240.2,10805.1,8,10805.1,44.9838,0.2959,152,0.43,0.49
O88890,0.9265,34.5,1538.3,17,1538.3,44.5884,0.3655,122,0.21,0.63
P15702,0.9281,66.8,2974.0,12,2974.0,44.521,0.1139,391,0.13,0.59
P64604,0.9203,183.0,8019.2,16,8019.2,43.8208,0.2448,179,0.32,0.54
Q9Z0M9,0.9327,112.1,4904.6,19,4904.6,43.752,0.2315,189,0.21,0.66
Q8VCA5,0.9201,42.7,1858.6,46,1858.6,43.5269,0.101,431,0.27,0.57
P27512,0.9276,51.1,2202.5,212,2202.5,43.1018,0.1512,285,0.2,0.61
Q8CCT4,0.921,35.7,1537.3,151,1537.3,43.0616,0.2197,196,0.18,0.52
Q9JKX8,0.9241,84.1,3587.3,225,3587.3,42.6552,0.1507,283,0.33,0.51
Q5QNS5,0.9331,222.2,9472.3,11,9472.3,42.6296,0.1416,301,0.23,0.62
Q60571,0.9369,60.9,2531.3,9,2531.3,41.5649,0.1307,318,0.2,0.63
Q7TS55,0.941,194.8,8013.5,27,8013.5,41.1371,0.2434,169,0.26,0.62
Q99PH1,0.9252,78.5,3228.0,28,3228.0,41.121,0.0635,648,0.27,0.52
P24369,0.9265,82.1,3355.1,12,3355.1,40.866,0.1928,212,0.31,0.51
O08976,0.9213,143.5,5847.3,16,5847.3,40.7477,0.2397,170,0.32,0.55
P01739,0.9415,127.4,5189.7,3,5189.7,40.7355,0.3182,128,0.2,0.69
Q91VK4,0.9338,197.2,7968.5,64,7968.5,40.4082,0.1525,265,0.28,0.59
O89101,0.9234,85.7,3448.1,16,3448.1,40.2345,0.1982,203,0.27,0.61
Q00941,0.9288,75.8,3031.4,340,3031.4,39.9921,0.1041,384,0.2,0.64
P97812,0.9277,71.3,2811.2,389,2811.2,39.4278,0.0969,407,0.34,0.51
O35291,0.9298,185.7,7240.8,15,7240.8,38.9919,0.2582,151,0.42,0.5
P01634,0.9349,81.6,3119.7,15,3119.7,38.2316,0.2896,132,0.17,0.67
P0AAK4,0.9224,40.6,1542.6,165,1542.6,37.9951,0.2222,171,0.35,0.42
Q9Z1Q4,0.9314,189.4,7156.0,7,7156.0,37.7825,0.3097,122,0.31,0.57
Q6NVD0-3,0.9214,50.9,1915.7,259,1915.7,37.6365,0.1234,305,0.26,0.5
Q9CQ71,0.9253,49.4,1851.5,101,1851.5,37.4798,0.3203,117,0.29,0.59
Q2WG77,0.9207,74.3,2716.0,159,2716.0,36.5545,0.1856,197,0.24,0.53
P52430,0.9227,51.9,1890.6,18,1890.6,36.4277,0.1038,351,0.24,0.62
P01728,0.9386,150.1,5377.6,9,5377.6,35.8268,0.3171,113,0.19,0.67
P0ABL3,0.9201,129.8,4648.4,22,4648.4,35.812,0.247,145,0.43,0.46
O88186,0.9259,255.6,9153.3,155,9153.3,35.811,0.207,173,0.38,0.44
Q6PGD0,0.9221,78.3,2801.2,211,2801.2,35.7752,0.1634,219,0.31,0.47
Q9D7D1,0.9274,64.4,2253.6,213,2253.6,34.9938,0.1067,328,0.21,0.52
P01806,0.9242,35.8,1209.1,8,1209.1,33.7737,0.3016,112,0.21,0.64
P64542,0.9302,75.4,2540.4,8,2540.4,33.6923,0.324,104,0.38,0.43
Q8R089,0.9327,102.7,3355.1,328,3355.1,32.6689,0.0707,462,0.15,0.54
P38521,0.9202,79.9,2575.1,81,2575.1,32.229,0.3099,104,0.4,0.46
Q9CZH3,0.9208,157.3,4958.7,77,4958.7,31.5238,0.2672,118,0.29,0.58
Q9R0H2,0.9258,143.6,4504.8,11,4504.8,31.3705,0.1221,257,0.18,0.53
Q9D3L0,0.9213,134.6,4139.6,132,4139.6,30.7548,0.1653,186,0.26,0.41
Q9WUL8,0.9303,72.2,2144.4,122,2144.4,29.7008,0.1669,178,0.13,0.59
P0AAV6,0.9223,121.4,3276.5,10,3276.5,26.9893,0.2212,122,0.33,0.36
P35454,0.9229,121.8,2829.2,11,2829.2,23.2282,0.192,121,0.37,0.44
