label,pdb_id,chain,n_residues,n_valid,gini,kappa2_mean,kappa2_median,kappa2_max,kappa2_std,alpha,beta,loop,frac_alpha,frac_beta,kappa2_alpha,kappa2_beta,kappa2_loop,ligand,ligand_atoms,top1_res,top1_kappa2
AF-Q9DAZ9-F1-model_v6,AF,A,389,385,0.8423,142.2,4.8,4970.4,440.7,194,131,60,0.5,0.34,268.7,18.6,2.8,NONE,0,148,4970.4
AF-Q9DB00-F1-model_v6,AF,A,2260,2256,0.8871,18.6,1.1,2080.5,86.5,500,844,912,0.22,0.37,75.2,2.5,2.5,NONE,0,1739,2080.5
AF-Q9DB05-F1-model_v6,AF,A,295,291,0.6626,149.5,75.1,2385.8,250.5,251,18,22,0.86,0.06,173.2,1.0,1.3,NONE,0,9,2385.8
AF-Q9DB07-F1-model_v6,AF,A,301,297,0.826,45.8,2.8,905.4,114.4,108,146,43,0.36,0.49,108.4,12.0,3.4,NONE,0,181,905.4
AF-Q9DB10-F1-model_v6,AF,A,107,103,0.7818,50.8,6.6,714.8,113.0,33,54,16,0.32,0.52,126.3,19.4,0.8,NONE,0,80,714.8
AF-Q9DB15-F1-model_v6,AF,A,201,197,0.8572,46.5,2.5,1214.9,134.6,64,98,35,0.32,0.5,130.4,6.8,4.3,NONE,0,84,1214.9
AF-Q9DB16-F1-model_v6,AF,A,337,333,0.7494,129.0,27.9,2179.9,245.2,259,43,31,0.78,0.13,163.0,14.2,3.4,NONE,0,181,2179.9
AF-Q9DB20-F1-model_v6,AF,A,213,209,0.7168,82.4,17.4,790.7,132.5,119,63,27,0.57,0.3,131.7,23.5,2.2,NONE,0,203,790.7
AF-Q9DB25-F1-model_v6,AF,A,324,320,0.857,156.5,6.2,3526.0,438.3,173,112,35,0.54,0.35,283.5,8.5,2.5,NONE,0,11,3526.0
AF-Q9DB26-F1-model_v6,AF,A,291,287,0.8887,41.0,1.7,1463.6,141.7,96,148,43,0.33,0.52,113.2,5.6,1.9,NONE,0,10,1463.6
AF-Q9DB27-F1-model_v6,AF,A,181,177,0.8941,36.6,1.5,908.7,121.4,68,88,21,0.38,0.5,82.7,8.7,4.0,NONE,0,26,908.7
AF-Q9DB28-F1-model_v6,AF,A,169,165,0.7771,74.5,6.0,639.0,135.7,86,65,14,0.52,0.39,133.7,12.2,0.6,NONE,0,34,639.0
AF-Q9DB29-F1-model_v6,AF,A,249,245,0.882,101.6,2.8,2140.3,308.4,124,88,33,0.51,0.36,196.1,6.1,1.2,NONE,0,115,2140.3
AF-Q9DB30-F1-model_v6,AF,A,406,402,0.8356,61.3,2.4,1584.2,152.5,191,164,47,0.48,0.41,118.1,12.5,0.9,NONE,0,308,1584.2
AF-Q9DB32-F1-model_v6,AF,A,283,279,0.8533,55.0,1.8,2354.4,176.5,125,118,36,0.45,0.42,110.8,12.3,1.1,NONE,0,234,2354.4
AF-Q9DB34-F1-model_v6,AF,A,222,218,0.7118,193.6,61.2,2934.0,370.4,176,19,23,0.81,0.09,238.8,2.7,5.2,NONE,0,81,2934.0
AF-Q9DB38-F1-model_v6,AF,A,172,168,0.746,29.8,6.6,326.4,52.7,43,106,19,0.26,0.63,55.0,24.4,2.6,NONE,0,9,326.4
AF-Q9DB40-F1-model_v6,AF,A,311,307,0.7957,126.1,7.3,3009.3,279.5,171,96,40,0.56,0.31,222.7,6.0,1.5,NONE,0,123,3009.3
AF-Q9DB41-F1-model_v6,AF,A,320,316,0.7305,152.8,43.2,1980.6,290.8,241,49,26,0.76,0.16,198.6,8.3,1.3,NONE,0,141,1980.6
AF-Q9DB42-F1-model_v6,AF,A,134,130,0.8394,50.6,3.4,1363.4,147.9,49,60,21,0.38,0.46,117.3,11.6,6.4,NONE,0,76,1363.4
AF-Q9DB43-F1-model_v6,AF,A,310,306,0.8801,66.2,2.4,2208.9,226.8,115,140,51,0.38,0.46,162.7,9.9,3.1,NONE,0,275,2208.9
AF-Q9DB50-F1-model_v6,AF,A,160,156,0.8204,167.4,10.6,2908.8,400.8,90,50,16,0.58,0.32,279.2,19.5,0.6,NONE,0,83,2908.8
AF-Q9DB52-F1-model_v6,AF,A,284,280,0.9416,99.8,2.7,14421.3,877.8,36,187,57,0.13,0.67,703.2,12.1,6.2,NONE,0,102,14421.3
AF-Q9DB54-F1-model_v6,AF,A,251,247,0.7741,68.4,11.9,1760.8,162.0,85,133,29,0.34,0.54,162.7,20.8,10.6,NONE,0,53,1760.8
AF-Q9DB60-F1-model_v6,AF,A,201,197,0.8226,29.4,1.9,667.7,74.8,85,83,29,0.43,0.42,59.2,8.9,0.9,NONE,0,99,667.7
AF-Q9DB70-F1-model_v6,AF,A,155,151,0.6811,154.7,72.0,1912.2,259.6,114,23,14,0.75,0.15,202.2,11.3,3.5,NONE,0,89,1912.2
AF-Q9DB72-F1-model_v6,AF,A,478,474,0.8231,55.6,4.0,1922.7,146.1,222,188,64,0.47,0.4,107.7,12.3,1.9,NONE,0,141,1922.7
AF-Q9DB73-F1-model_v6,AF,A,305,301,0.9035,87.9,1.5,6897.9,440.0,112,155,34,0.37,0.51,222.5,9.5,1.6,NONE,0,21,6897.9
AF-Q9DB75-F1-model_v6,AF,A,208,204,0.8638,26.0,2.9,1853.7,138.6,24,136,44,0.12,0.67,148.2,12.3,1.8,NONE,0,163,1853.7
AF-Q9DB76-F1-model_v6,AF,A,206,202,0.8452,77.5,2.8,2386.7,225.9,104,76,22,0.51,0.38,146.6,5.3,0.7,NONE,0,69,2386.7
AF-Q9DB77-F1-model_v6,AF,A,453,449,0.8673,125.8,5.3,7104.4,459.0,213,181,55,0.47,0.4,249.6,16.9,5.1,NONE,0,350,7104.4
AF-Q9DB85-F1-model_v6,AF,A,457,453,0.8502,30.0,2.3,1069.1,90.5,147,233,73,0.32,0.51,69.6,14.1,1.0,NONE,0,45,1069.1
AF-Q9DB90-F1-model_v6,AF,A,520,516,0.859,35.7,2.5,1238.5,109.4,156,281,79,0.3,0.54,102.8,8.1,1.5,NONE,0,474,1238.5
AF-Q9DB91-F1-model_v6,AF,A,199,195,0.7783,160.5,18.4,2839.8,365.3,108,54,33,0.55,0.28,285.0,7.6,3.3,NONE,0,116,2839.8
AF-Q9DB94-F1-model_v6,AF,A,358,354,0.7996,10.6,1.3,590.6,38.3,43,253,58,0.12,0.71,5.1,13.4,2.2,NONE,0,4,590.6
AF-Q9DB96-F1-model_v6,AF,A,315,311,0.8318,185.4,16.9,6057.9,566.7,178,82,51,0.57,0.26,318.1,11.0,2.7,NONE,0,15,6057.9
AF-Q9DB98-F1-model_v6,AF,A,261,257,0.7977,152.9,11.9,2460.2,345.7,141,90,26,0.55,0.35,244.6,53.0,1.7,NONE,0,52,2460.2
AF-Q9DBA6-F1-model_v6,AF,A,568,564,0.8698,22.7,1.3,748.3,74.0,160,313,91,0.28,0.55,62.0,8.8,1.7,NONE,0,62,748.3
AF-Q9DBA8-F1-model_v6,AF,A,426,422,0.8713,77.7,1.4,4112.0,274.5,194,162,66,0.46,0.38,160.6,9.6,0.8,NONE,0,101,4112.0
AF-Q9DBA9-F1-model_v6,AF,A,547,543,0.8258,130.5,10.8,3727.8,365.9,322,164,57,0.59,0.3,214.4,9.3,4.6,NONE,0,526,3727.8
AF-Q9DBB1-F1-model_v6,AF,A,381,377,0.8654,50.5,1.6,1597.8,149.9,142,162,73,0.38,0.43,119.5,11.8,2.2,NONE,0,319,1597.8
AF-Q9DBB4-F1-model_v6,AF,A,864,860,0.7882,130.4,30.0,7838.2,435.8,654,111,95,0.76,0.13,170.3,3.7,3.9,NONE,0,606,7838.2
AF-Q9DBB5-F1-model_v6,AF,A,207,203,0.8773,41.5,2.7,1850.0,166.1,78,99,26,0.38,0.49,89.7,13.8,2.1,NONE,0,122,1850.0
AF-Q9DBB8-F1-model_v6,AF,A,333,329,0.8711,79.3,1.8,2703.7,259.6,145,135,49,0.44,0.41,167.2,13.1,1.6,NONE,0,291,2703.7
AF-Q9DBB9-F1-model_v6,AF,A,547,543,0.8621,8.1,0.8,283.9,29.4,106,298,139,0.2,0.55,8.9,11.0,1.2,NONE,0,407,283.9
AF-Q9DBC3-F1-model_v6,AF,A,837,833,0.8795,45.8,1.9,2850.7,175.6,310,379,144,0.37,0.45,114.6,6.0,2.2,NONE,0,199,2850.7
AF-Q9DBC7-F1-model_v6,AF,A,381,377,0.8396,79.0,5.7,5999.3,340.7,177,165,35,0.47,0.44,158.6,9.7,3.7,NONE,0,242,5999.3
AF-Q9DBD0-F1-model_v6,AF,A,700,696,0.8736,34.8,1.2,1431.2,115.5,307,270,119,0.44,0.39,72.7,4.1,6.6,NONE,0,486,1431.2
AF-Q9DBD2-F1-model_v6,AF,A,286,282,0.8593,171.9,10.1,3870.5,530.5,126,118,38,0.45,0.42,374.7,9.8,3.1,NONE,0,168,3870.5
AF-Q9DBD5-F1-model_v6,AF,A,1123,1119,0.857,60.3,3.6,7787.5,294.1,473,444,202,0.42,0.4,130.1,12.5,1.8,NONE,0,376,7787.5
AF-Q9DBE0-F1-model_v6,AF,A,493,489,0.8482,85.3,3.1,8084.0,396.0,265,156,68,0.54,0.32,154.0,5.4,1.0,NONE,0,75,8084.0
AF-Q9DBE8-F1-model_v6,AF,A,415,411,0.8517,92.2,4.0,4902.1,354.9,221,146,44,0.54,0.36,167.0,5.9,3.1,NONE,0,151,4902.1
AF-Q9DBE9-F1-model_v6,AF,A,838,834,0.8293,91.8,4.5,3696.5,255.4,393,312,129,0.47,0.37,185.6,9.4,5.8,NONE,0,547,3696.5
AF-Q9DBF1-F1-model_v6,AF,A,539,535,0.8391,55.5,3.0,1689.1,152.3,234,228,73,0.44,0.43,119.0,7.6,1.6,NONE,0,349,1689.1
AF-Q9DBF7-F1-model_v6,AF,A,416,412,0.8082,93.9,6.3,2303.0,229.8,207,104,101,0.5,0.25,178.4,11.5,5.5,NONE,0,142,2303.0
AF-Q9DBG1-F1-model_v6,AF,A,533,529,0.8168,74.9,5.9,2421.5,213.8,291,166,72,0.55,0.31,129.9,9.4,3.7,NONE,0,247,2421.5
AF-Q9DBG3-F1-model_v6,AF,A,937,933,0.7921,59.6,6.3,2554.3,148.0,515,307,111,0.55,0.33,102.0,9.2,2.7,NONE,0,491,2554.3
AF-Q9DBG5-F1-model_v6,AF,A,437,433,0.7992,200.0,29.3,19543.5,979.8,280,83,70,0.65,0.19,302.2,9.4,17.6,NONE,0,44,19543.5
AF-Q9DBG6-F1-model_v6,AF,A,631,627,0.8345,83.7,6.6,4489.4,259.4,276,284,67,0.44,0.45,173.4,16.1,0.9,NONE,0,186,4489.4
AF-Q9DBG7-F1-model_v6,AF,A,636,632,0.9025,89.5,2.7,20208.9,822.1,275,240,117,0.44,0.38,197.6,7.7,3.3,NONE,0,504,20208.9
AF-Q9DBG9-F1-model_v6,AF,A,124,120,0.8767,38.0,1.2,1170.4,129.8,34,64,22,0.28,0.53,109.2,13.1,0.5,NONE,0,116,1170.4
AF-Q9DBH0-F1-model_v6,AF,A,870,866,0.8804,30.4,1.7,1462.9,117.5,265,454,147,0.31,0.52,87.7,6.4,1.2,NONE,0,107,1462.9
AF-Q9DBH5-F1-model_v6,AF,A,358,354,0.9462,89.4,1.4,17982.3,960.6,66,222,66,0.19,0.63,159.8,13.3,275.3,NONE,0,305,17982.3
AF-Q9DBI0-F1-model_v6,AF,A,811,807,0.904,23.4,1.2,1653.0,119.6,187,483,137,0.23,0.6,81.6,7.2,0.8,NONE,0,61,1653.0
AF-Q9DBI2-F1-model_v6,AF,A,713,709,0.8478,88.4,4.6,3865.2,286.4,294,309,106,0.41,0.44,198.6,12.5,3.9,NONE,0,286,3865.2
AF-Q9DBJ1-F1-model_v6,AF,A,254,250,0.9084,115.3,2.8,9203.3,671.9,123,91,36,0.49,0.36,229.0,6.7,1.1,NONE,0,42,9203.3
AF-Q9DBJ3-F1-model_v6,AF,A,514,510,0.8123,75.2,6.4,2686.6,215.5,250,195,65,0.49,0.38,148.3,5.9,1.8,NONE,0,44,2686.6
AF-Q9DBJ6-F1-model_v6,AF,A,202,198,0.8169,27.7,2.9,610.9,70.4,73,96,29,0.37,0.48,51.2,11.1,23.1,NONE,0,22,610.9
AF-Q9DBK0-F1-model_v6,AF,A,556,552,0.8403,51.9,4.6,1606.2,141.2,202,302,48,0.37,0.55,114.8,17.8,1.0,NONE,0,216,1606.2
AF-Q9DBK7-F1-model_v6,AF,A,977,973,0.8341,65.6,4.1,2388.1,190.7,460,395,118,0.47,0.41,129.6,10.3,1.6,NONE,0,619,2388.1
AF-Q9DBL1-F1-model_v6,AF,A,432,428,0.8174,89.2,5.7,2787.6,244.4,232,137,59,0.54,0.32,159.5,7.9,1.5,NONE,0,121,2787.6
AF-Q9DBL2-F1-model_v6,AF,A,498,494,0.8685,58.0,2.0,6504.5,316.5,241,185,68,0.49,0.37,111.8,7.9,3.6,NONE,0,88,6504.5
AF-Q9DBL7-F1-model_v6,AF,A,563,559,0.8218,49.3,2.7,1196.5,121.2,269,225,65,0.48,0.4,94.9,8.6,1.1,NONE,0,437,1196.5
AF-Q9DBL9-F1-model_v6,AF,A,351,347,0.8652,73.0,3.7,4893.1,301.5,157,136,54,0.45,0.39,147.7,14.8,2.1,NONE,0,141,4893.1
AF-Q9DBM0-F1-model_v6,AF,A,673,669,0.8863,175.3,7.6,18024.0,903.9,376,198,95,0.56,0.3,305.3,10.7,4.2,NONE,0,649,18024.0
AF-Q9DBM1-F1-model_v6,AF,A,930,926,0.9036,31.7,1.4,2248.3,140.9,234,469,223,0.25,0.51,103.8,10.0,1.7,NONE,0,457,2248.3
AF-Q9DBM2-F1-model_v6,AF,A,718,714,0.8308,72.7,3.2,2085.1,200.3,394,219,101,0.55,0.31,128.9,4.4,1.3,NONE,0,616,2085.1
AF-Q9DBN1-F1-model_v6,AF,A,621,617,0.7477,165.6,42.6,4367.2,366.5,451,115,51,0.73,0.19,224.5,7.3,2.1,NONE,0,317,4367.2
AF-Q9DBN4-F1-model_v6,AF,A,303,299,0.8937,67.1,2.6,4143.0,288.5,71,156,72,0.24,0.52,256.1,10.2,4.0,NONE,0,154,4143.0
AF-Q9DBN5-F1-model_v6,AF,A,852,848,0.8001,51.8,4.9,1034.9,117.5,398,340,110,0.47,0.4,103.0,7.9,2.3,NONE,0,273,1034.9
AF-Q9DBN9-F1-model_v6,AF,A,619,615,0.8784,37.7,1.8,2967.6,179.7,261,258,96,0.42,0.42,81.4,7.1,1.2,NONE,0,263,2967.6
AF-Q9DBP0-F1-model_v6,AF,A,697,693,0.7958,100.3,12.2,3176.8,248.0,430,163,100,0.62,0.24,156.4,11.6,3.4,NONE,0,374,3176.8
AF-Q9DBP5-F1-model_v6,AF,A,196,192,0.7481,49.7,7.1,680.4,97.9,117,50,25,0.61,0.26,78.8,6.1,1.0,NONE,0,164,680.4
AF-Q9DBQ7-F1-model_v6,AF,A,735,731,0.8471,28.0,1.9,730.2,76.6,251,345,135,0.34,0.47,71.1,6.8,2.0,NONE,0,252,730.2
AF-Q9DBQ9-F1-model_v6,AF,A,907,903,0.8335,49.0,2.3,1571.9,128.8,356,324,223,0.39,0.36,116.8,6.7,2.3,NONE,0,703,1571.9
AF-Q9DBR0-F1-model_v6,AF,A,687,683,0.8457,27.5,2.1,985.7,80.1,182,343,158,0.27,0.5,86.7,8.0,1.8,NONE,0,104,985.7
AF-Q9DBR1-F1-model_v6,AF,A,951,947,0.8839,67.2,2.9,7676.2,341.4,376,438,133,0.4,0.46,155.1,11.2,3.1,NONE,0,421,7676.2
AF-Q9DBR2-F1-model_v6,AF,A,601,597,0.8253,26.0,2.9,1089.0,80.4,173,300,124,0.29,0.5,75.7,7.0,2.6,NONE,0,327,1089.0
AF-Q9DBR3-F1-model_v6,AF,A,673,669,0.7761,118.6,23.8,4729.4,327.6,533,79,57,0.8,0.12,148.6,1.1,0.8,NONE,0,637,4729.4
AF-Q9DBR4-F1-model_v6,AF,A,760,756,0.9035,31.5,1.5,2492.0,163.2,168,409,179,0.22,0.54,114.8,10.2,1.9,NONE,0,703,2492.0
AF-Q9DBR7-F1-model_v6,AF,A,1029,1025,0.8512,39.0,1.8,1694.0,121.2,359,374,292,0.35,0.36,105.9,3.5,2.4,NONE,0,285,1694.0
AF-Q9DBS1-F1-model_v6,AF,A,400,396,0.8816,177.3,5.8,19880.1,1043.0,174,188,34,0.44,0.47,377.9,23.6,0.5,NONE,0,48,19880.1
AF-Q9DBS2-F1-model_v6,AF,A,266,262,0.849,28.0,2.5,835.7,86.9,78,142,42,0.3,0.54,68.3,13.1,3.5,NONE,0,207,835.7
AF-Q9DBS4-F1-model_v6,AF,A,632,628,0.7741,85.1,7.1,1572.2,175.5,389,157,82,0.62,0.25,131.4,13.8,1.8,NONE,0,280,1572.2
AF-Q9DBS5-F1-model_v6,AF,A,619,615,0.777,196.1,37.8,14972.0,707.2,404,124,87,0.66,0.2,295.4,6.7,4.8,NONE,0,558,14972.0
AF-Q9DBS8-F1-model_v6,AF,A,558,554,0.7883,79.0,7.9,1723.0,184.0,240,203,111,0.43,0.37,176.9,5.8,1.3,NONE,0,330,1723.0
AF-Q9DBS9-F1-model_v6,AF,A,855,851,0.8587,43.0,2.2,1673.3,129.3,291,402,158,0.34,0.47,113.8,7.9,1.6,NONE,0,804,1673.3
AF-Q9DBT3-F1-model_v6,AF,A,340,336,0.8844,187.3,5.6,14834.0,910.9,184,100,52,0.55,0.3,338.9,3.9,3.4,NONE,0,234,14834.0
AF-Q9DBT4-F1-model_v6,AF,A,613,609,0.8477,84.3,3.9,1606.4,218.4,291,238,80,0.48,0.39,168.3,9.5,1.3,NONE,0,297,1606.4
AF-Q9DBT5-F1-model_v6,AF,A,824,820,0.8069,46.7,3.5,1412.0,115.8,424,270,126,0.52,0.33,83.7,9.5,1.5,NONE,0,75,1412.0
AF-Q9DBT9-F1-model_v6,AF,A,869,865,0.8533,31.3,1.9,832.4,88.9,311,419,135,0.36,0.48,78.1,5.9,2.5,NONE,0,247,832.4
AF-Q9DBU0-F1-model_v6,AF,A,606,602,0.8338,127.8,10.9,7591.7,464.9,343,192,67,0.57,0.32,219.7,7.5,2.1,NONE,0,254,7591.7
AF-Q9DBU2-F1-model_v6,AF,A,242,238,0.8879,77.3,2.3,2180.1,247.7,99,104,35,0.42,0.44,178.6,6.5,1.4,NONE,0,218,2180.1
AF-Q9DBU3-F1-model_v6,AF,A,519,515,0.8367,92.1,3.4,3512.4,260.3,247,184,84,0.48,0.36,187.1,5.7,2.0,NONE,0,490,3512.4
AF-Q9DBU5-F1-model_v6,AF,A,667,663,0.9043,28.8,1.7,2515.8,171.7,137,334,192,0.21,0.5,120.2,6.9,1.7,NONE,0,464,2515.8
AF-Q9DBU6-F1-model_v6,AF,A,334,330,0.8611,93.0,5.3,3290.5,298.3,121,153,56,0.37,0.46,242.2,7.5,3.8,NONE,0,188,3290.5
AF-Q9DBV3-F1-model_v6,AF,A,1145,1141,0.8555,84.3,4.2,4679.2,272.6,558,420,163,0.49,0.37,165.4,6.7,6.7,NONE,0,532,4679.2
AF-Q9DBV4-F1-model_v6,AF,A,442,438,0.9061,84.3,2.7,3196.7,315.2,105,249,84,0.24,0.57,312.8,14.7,5.1,NONE,0,360,3196.7
AF-Q9DBW0-F1-model_v6,AF,A,525,521,0.8162,103.7,7.5,3613.5,277.6,334,132,55,0.64,0.25,159.6,4.8,1.0,NONE,0,23,3613.5
AF-Q9DBW3-F1-model_v6,AF,A,110,106,0.8282,28.5,2.0,638.0,79.0,39,52,15,0.37,0.49,65.6,8.6,1.0,NONE,0,94,638.0
AF-Q9DBX1-F1-model_v6,AF,A,137,133,0.8229,101.0,6.4,1332.4,234.5,52,62,19,0.39,0.47,239.9,14.7,2.6,NONE,0,38,1332.4
AF-Q9DBX2-F1-model_v6,AF,A,301,297,0.8234,100.1,8.8,5995.7,379.4,146,108,43,0.49,0.36,188.6,18.8,4.0,NONE,0,200,5995.7
AF-Q9DBX3-F1-model_v6,AF,A,820,816,0.9123,40.5,1.3,5817.9,252.8,239,433,144,0.29,0.53,113.0,13.5,1.4,NONE,0,706,5817.9
AF-Q9DBX6-F1-model_v6,AF,A,501,497,0.8218,114.8,6.0,3288.1,308.1,299,135,63,0.6,0.27,187.5,7.1,0.7,NONE,0,245,3288.1
AF-Q9DBX7-F1-model_v6,AF,A,326,322,0.8702,81.5,3.0,2182.7,240.1,107,140,75,0.33,0.43,236.0,5.2,3.6,NONE,0,124,2182.7
AF-Q9DBY0-F1-model_v6,AF,A,795,791,0.9032,72.8,1.6,8910.8,383.1,229,368,194,0.29,0.47,242.8,4.7,1.3,NONE,0,157,8910.8
AF-Q9DBY1-F1-model_v6,AF,A,612,608,0.8307,130.3,8.1,2845.0,339.2,316,196,96,0.52,0.32,243.1,11.4,1.7,NONE,0,9,2845.0
AF-Q9DBY4-F1-model_v6,AF,A,809,805,0.9529,48.5,1.1,9159.9,412.9,181,413,211,0.22,0.51,200.4,6.0,1.6,NONE,0,705,9159.9
AF-Q9DBY5-F1-model_v6,AF,A,414,410,0.8457,25.5,2.3,742.8,78.6,80,222,108,0.2,0.54,102.7,8.7,2.8,NONE,0,59,742.8
AF-Q9DBY8-F1-model_v6,AF,A,855,851,0.8328,47.7,3.4,2995.1,162.2,411,280,160,0.48,0.33,94.4,5.5,1.5,NONE,0,239,2995.1
AF-Q9DBZ1-F1-model_v6,AF,A,373,369,0.735,231.5,74.7,5041.3,533.2,308,28,33,0.83,0.08,276.8,4.0,1.7,NONE,0,179,5041.3
AF-Q9DBZ5-F1-model_v6,AF,A,218,214,0.7542,82.8,11.4,708.3,146.7,148,42,24,0.69,0.2,118.8,2.7,1.0,NONE,0,102,708.3
AF-Q9DC04-F1-model_v6,AF,A,966,962,0.8632,14.5,1.2,515.1,48.6,183,506,273,0.19,0.53,56.6,6.2,1.6,NONE,0,872,515.1
AF-Q9DC07-F1-model_v6,AF,A,270,266,0.9133,61.8,1.5,3281.7,269.4,85,138,43,0.32,0.52,180.8,7.6,1.0,NONE,0,77,3281.7
AF-Q9DC11-F1-model_v6,AF,A,530,526,0.9286,68.6,1.7,8593.2,428.2,129,305,92,0.25,0.58,250.4,11.8,2.3,NONE,0,475,8593.2
AF-Q9DC16-F1-model_v6,AF,A,290,286,0.8556,77.8,4.1,1741.4,222.9,91,164,31,0.32,0.57,223.8,11.4,0.5,NONE,0,27,1741.4
AF-Q9DC22-F1-model_v6,AF,A,876,872,0.8786,24.3,1.3,1239.9,85.1,193,462,217,0.22,0.53,88.0,7.8,2.6,NONE,0,701,1239.9
AF-Q9DC23-F1-model_v6,AF,A,793,789,0.8759,84.1,4.1,5770.4,327.6,381,310,98,0.48,0.39,169.1,6.0,1.0,NONE,0,54,5770.4
AF-Q9DC26-F1-model_v6,AF,A,460,456,0.7559,197.1,45.4,5662.9,458.4,377,53,26,0.83,0.12,238.0,2.1,1.2,NONE,0,240,5662.9
AF-Q9DC28-F1-model_v6,AF,A,415,411,0.8676,59.2,2.1,3309.7,238.0,153,185,73,0.37,0.45,151.5,5.9,0.9,NONE,0,198,3309.7
AF-Q9DC29-F1-model_v6,AF,A,842,838,0.8177,165.1,23.2,9473.8,583.5,549,197,92,0.66,0.24,248.9,7.1,2.9,NONE,0,307,9473.8
AF-Q9DC33-F1-model_v6,AF,A,346,342,0.8191,154.5,17.5,5115.0,467.9,196,89,57,0.57,0.26,263.8,5.9,10.5,NONE,0,249,5115.0
AF-Q9DC37-F1-model_v6,AF,A,464,460,0.7279,138.2,40.4,2951.4,280.5,374,43,43,0.81,0.09,168.8,4.5,5.7,NONE,0,230,2951.4
AF-Q9DC40-F1-model_v6,AF,A,840,836,0.8013,135.1,15.6,11934.1,498.9,578,175,83,0.69,0.21,189.8,17.0,2.5,NONE,0,755,11934.1
AF-Q9DC48-F1-model_v6,AF,A,579,575,0.9042,19.4,1.1,1584.5,105.1,126,348,101,0.22,0.61,67.1,7.6,0.9,NONE,0,219,1584.5
AF-Q9DC50-F1-model_v6,AF,A,612,608,0.8205,89.7,5.1,5131.6,281.8,316,219,73,0.52,0.36,164.4,11.7,0.7,NONE,0,53,5131.6
AF-Q9DC51-F1-model_v6,AF,A,354,350,0.8022,80.4,6.9,3238.4,222.7,205,100,45,0.59,0.29,133.6,6.7,1.5,NONE,0,339,3238.4
AF-Q9DC53-F1-model_v6,AF,A,577,573,0.8719,31.2,1.9,1806.6,128.3,165,325,83,0.29,0.57,71.9,18.2,1.3,NONE,0,563,1806.6
AF-Q9DC58-F1-model_v6,AF,A,238,234,0.7926,167.3,31.0,5517.3,464.4,185,34,15,0.79,0.15,210.2,7.4,1.0,NONE,0,57,5517.3
AF-Q9DC60-F1-model_v6,AF,A,336,332,0.7809,129.4,26.9,3382.6,335.1,240,55,37,0.72,0.17,175.5,12.9,3.0,NONE,0,47,3382.6
AF-Q9DC61-F1-model_v6,AF,A,524,520,0.8349,63.6,3.9,1961.3,168.5,234,214,72,0.45,0.41,133.1,8.3,1.7,NONE,0,186,1961.3
AF-Q9DC63-F1-model_v6,AF,A,480,476,0.8216,38.1,2.8,748.3,90.7,180,239,57,0.38,0.5,84.8,11.6,1.4,NONE,0,128,748.3
AF-Q9DC69-F1-model_v6,AF,A,377,373,0.8257,38.3,2.7,1023.5,104.4,167,168,38,0.45,0.45,71.1,14.0,1.8,NONE,0,152,1023.5
AF-Q9DC70-F1-model_v6,AF,A,224,220,0.9022,70.1,1.5,5524.7,388.2,86,97,37,0.39,0.44,172.6,5.4,1.0,NONE,0,203,5524.7
AF-Q9DC71-F1-model_v6,AF,A,258,254,0.8009,132.3,14.0,3117.1,323.6,155,72,27,0.61,0.28,213.0,7.2,2.8,NONE,0,52,3117.1
AF-Q9DC77-F1-model_v6,AF,A,85,81,0.9095,46.7,3.7,3005.5,331.0,5,60,16,0.06,0.74,602.4,10.9,7.3,NONE,0,68,3005.5
AF-Q9DCA2-F1-model_v6,AF,A,191,187,0.8144,27.5,3.1,441.8,64.8,53,105,29,0.28,0.56,70.1,12.0,5.8,NONE,0,162,441.8
AF-Q9DCA5-F1-model_v6,AF,A,353,349,0.7923,42.2,4.5,983.0,96.4,134,175,40,0.38,0.5,92.8,12.3,3.2,NONE,0,106,983.0
AF-Q9DCA7-F1-model_v6,AF,A,226,222,0.906,52.6,1.5,1961.6,201.0,55,87,80,0.25,0.39,200.6,4.0,3.7,NONE,0,97,1961.6
AF-Q9DCB1-F1-model_v6,AF,A,99,95,0.8239,28.2,2.4,500.0,74.2,14,48,33,0.15,0.51,97.9,11.5,22.9,NONE,0,87,500.0
AF-Q9DCB3-F1-model_v6,AF,A,190,186,0.8498,44.3,2.9,1204.4,137.0,65,76,45,0.35,0.41,93.3,24.1,7.5,NONE,0,152,1204.4
AF-Q9DCB4-F1-model_v6,AF,A,807,803,0.8794,19.9,1.4,1636.3,87.0,121,446,236,0.15,0.56,100.0,7.2,2.8,NONE,0,198,1636.3
AF-Q9DCB8-F1-model_v6,AF,A,154,150,0.8451,17.3,1.3,473.2,52.6,25,92,33,0.17,0.61,44.5,15.4,2.0,NONE,0,106,473.2
AF-Q9DCC3-F1-model_v6,AF,A,242,238,0.825,185.4,10.2,6350.7,518.2,120,78,40,0.5,0.33,362.8,6.3,2.2,NONE,0,139,6350.7
AF-Q9DCC4-F1-model_v6,AF,A,274,270,0.8427,113.4,9.1,5412.5,410.0,163,77,30,0.6,0.29,183.8,7.8,1.9,NONE,0,217,5412.5
AF-Q9DCC7-F1-model_v6,AF,A,210,206,0.8507,73.3,3.9,1507.3,208.2,97,72,37,0.47,0.35,141.7,17.4,2.5,NONE,0,182,1507.3
AF-Q9DCC8-F1-model_v6,AF,A,145,141,0.6674,157.4,79.8,1948.1,262.0,126,10,5,0.89,0.07,176.0,1.3,2.5,NONE,0,10,1948.1
