human_gene,disease,human_uid,mimic_uid,mimic_species,source_type,score,h_gini,m_gini,h_n,m_n,h_conc,m_conc
WFDC2,Bronchiectasis and nasal polyposis,Q14508,B3H5E1,arabidopsis,dietary,85,0.9365,0.9507,120,131,53.0,50.0
WFDC2,Bronchiectasis and nasal polyposis,Q14508,Q3E9W6,arabidopsis,dietary,85,0.9365,0.9127,120,131,53.0,39.0
WFDC2,Bronchiectasis and nasal polyposis,Q14508,Q8GX02,arabidopsis,dietary,85,0.9365,0.9299,120,135,53.0,38.0
TBL1X,"Hypothyroidism, congenital, non-goitrous, 8",O60907,Q69U49,rice,dietary,85,0.9242,0.9322,573,457,70.0,67.0
TBL1X,"Hypothyroidism, congenital, non-goitrous, 8",O60907,P0DH87,arabidopsis,dietary,85,0.9242,0.9254,573,542,70.0,54.0
TBL1X,"Hypothyroidism, congenital, non-goitrous, 8",O60907,Q0WQF7,arabidopsis,dietary,85,0.9242,0.925,573,633,70.0,93.0
ISG15,"Immunodeficiency 38, with basal ganglia calcification",P05161,A0A0R0H9T5,soybean,dietary,85,0.9333,0.9268,161,168,69.0,57.0
ISG15,"Immunodeficiency 38, with basal ganglia calcification",P05161,P05759,yeast,dietary,85,0.9333,0.915,161,148,69.0,71.0
ISG15,"Immunodeficiency 38, with basal ganglia calcification",P05161,Q6E244,arabidopsis,dietary,85,0.9333,0.9352,161,167,69.0,101.0
ISG15,"Immunodeficiency 38, with basal ganglia calcification",P05161,Q93Z17,arabidopsis,dietary,85,0.9333,0.9149,161,169,69.0,37.0
ISG15,"Immunodeficiency 38, with basal ganglia calcification",P05161,P45424,ecoli,microbial,85,0.9333,0.9311,161,150,69.0,58.0
ISG15,"Immunodeficiency 38, with basal ganglia calcification",P05161,Q9I0N5,pseudomonas,microbial,85,0.9333,0.9218,161,197,69.0,57.0
ISG15,"Immunodeficiency 38, with basal ganglia calcification",P05161,O34993,bacillus,microbial,85,0.9333,0.9121,161,168,69.0,38.0
B2M,"Immunodeficiency 43; Amyloidosis, hereditary systemic 6",P61769,P0CX27,yeast,dietary,85,0.9227,0.9175,115,102,51.0,63.0
B2M,"Immunodeficiency 43; Amyloidosis, hereditary systemic 6",P61769,F4IZ80,arabidopsis,dietary,85,0.9227,0.9137,115,120,51.0,42.0
B2M,"Immunodeficiency 43; Amyloidosis, hereditary systemic 6",P61769,Q9FIV3,arabidopsis,dietary,85,0.9227,0.942,115,132,51.0,61.0
B2M,"Immunodeficiency 43; Amyloidosis, hereditary systemic 6",P61769,Q9SW27,arabidopsis,dietary,85,0.9227,0.9134,115,114,51.0,31.0
B2M,"Immunodeficiency 43; Amyloidosis, hereditary systemic 6",P61769,O34541,bacillus,microbial,85,0.9227,0.9168,115,139,51.0,40.0
LHB,Hypogonadotropic hypogonadism 23 with or without anosmia,P01229,Q9FIV3,arabidopsis,dietary,85,0.9252,0.942,137,132,39.0,61.0
LHB,Hypogonadotropic hypogonadism 23 with or without anosmia,P01229,Q9FYA2,arabidopsis,dietary,85,0.9252,0.9293,137,141,39.0,55.0
GPIHBP1,Hyperlipoproteinemia 1D,Q8IV16,Q8L6Z5,arabidopsis,dietary,85,0.9175,0.9202,180,178,52.0,46.0
GPIHBP1,Hyperlipoproteinemia 1D,Q8IV16,Q9FI66,arabidopsis,dietary,85,0.9175,0.9123,180,187,52.0,50.0
GPIHBP1,Hyperlipoproteinemia 1D,Q8IV16,Q9LMU2,arabidopsis,dietary,85,0.9175,0.9235,180,192,52.0,42.0
GPIHBP1,Hyperlipoproteinemia 1D,Q8IV16,Q9SH66,arabidopsis,dietary,85,0.9175,0.9176,180,178,52.0,42.0
GPIHBP1,Hyperlipoproteinemia 1D,Q8IV16,I6YBX3,tuberculosis,microbial,85,0.9175,0.9145,180,179,52.0,33.0
CD320,"Methylmalonic aciduria, transient, due to transcobalamin receptor defect",Q9NPF0,Q8LH59,rice,dietary,85,0.9263,0.927,278,302,48.0,67.0
CD320,"Methylmalonic aciduria, transient, due to transcobalamin receptor defect",Q9NPF0,Q9S7S3,arabidopsis,dietary,85,0.9263,0.9117,278,276,48.0,39.0
GNB4,"Charcot-Marie-Tooth disease, dominant intermediate F",Q9HAV0,Q40687,rice,dietary,85,0.9267,0.942,336,376,47.0,79.0
GNB4,"Charcot-Marie-Tooth disease, dominant intermediate F",Q9HAV0,Q69XV9,rice,dietary,85,0.9267,0.9265,336,256,47.0,59.0
GNB4,"Charcot-Marie-Tooth disease, dominant intermediate F",Q9HAV0,Q7XWU8,rice,dietary,85,0.9267,0.9252,336,257,47.0,67.0
EMD,"Emery-Dreifuss muscular dystrophy 1, X-linked",P50402,Q9M0X8,arabidopsis,dietary,85,0.9307,0.9321,250,294,42.0,59.0
KLK11,Ichthyosis with erythrokeratoderma,Q9UBX7,Q8GW38,arabidopsis,dietary,85,0.926,0.9192,278,365,36.0,47.0
KLK11,Ichthyosis with erythrokeratoderma,Q9UBX7,P0A9D8,ecoli,microbial,85,0.926,0.92,278,270,36.0,47.0
PON1,Microvascular complications of diabetes 5,P27169,O23038,arabidopsis,dietary,85,0.925,0.9263,351,389,40.0,79.0
PON1,Microvascular complications of diabetes 5,P27169,O65457,arabidopsis,dietary,85,0.925,0.9318,351,390,40.0,72.0
PON1,Microvascular complications of diabetes 5,P27169,P49177,arabidopsis,dietary,85,0.925,0.9129,351,373,40.0,36.0
PON1,Microvascular complications of diabetes 5,P27169,Q3E8Y5,arabidopsis,dietary,85,0.925,0.9147,351,348,40.0,48.0
SLURP1,Mal de Meleda,P55000,Q3E9W6,arabidopsis,dietary,85,0.9133,0.9127,99,131,29.0,39.0
SLURP1,Mal de Meleda,P55000,P80680,maize,dietary,85,0.9133,0.9054,99,93,29.0,28.0
SLURP1,Mal de Meleda,P55000,Q9HXQ2,pseudomonas,microbial,85,0.9133,0.9024,99,112,29.0,36.0
ASIP,Obesity and hypopigmentation,P42127,Q7XRU4,rice,dietary,85,0.9352,0.9254,128,131,35.0,38.0
ASIP,Obesity and hypopigmentation,P42127,B3H730,arabidopsis,dietary,85,0.9352,0.921,128,130,35.0,41.0
ASIP,Obesity and hypopigmentation,P42127,F4JDF3,arabidopsis,dietary,85,0.9352,0.9269,128,169,35.0,38.0
SOBP,"Impaired intellectual development, anterior maxillary protrusion, and strabismus",A7XYQ1,Q5AP80,candida,microbial,83,0.9315,0.9465,869,781,441.0,346.0
BTNL2,Sarcoidosis 2,Q9UIR0,Q9LV12,arabidopsis,dietary,83,0.9287,0.9194,478,375,274.0,213.0
ATL3,"Neuropathy, hereditary sensory, 1F",Q6DD88,Q9FIK1,arabidopsis,dietary,83,0.9184,0.9299,537,555,313.0,360.0
CNNM4,Jalili syndrome,Q6P4Q7,Q8RXN5,arabidopsis,dietary,83,0.9384,0.9308,771,643,258.0,210.0
DCLRE1B,"Dyskeratosis congenita, autosomal recessive, 8",Q9H816,Q9AV81,rice,dietary,83,0.9375,0.9349,528,523,265.0,216.0
DCLRE1B,"Dyskeratosis congenita, autosomal recessive, 8",Q9H816,P38758,yeast,dietary,83,0.9375,0.9332,528,519,265.0,180.0
DCLRE1B,"Dyskeratosis congenita, autosomal recessive, 8",Q9H816,A3KPF2,arabidopsis,dietary,83,0.9375,0.9203,528,524,265.0,192.0
DCLRE1B,"Dyskeratosis congenita, autosomal recessive, 8",Q9H816,Q9FN08,arabidopsis,dietary,83,0.9375,0.9335,528,737,265.0,264.0
CCM2,Cerebral cavernous malformations 2,Q9BSQ5,Q0E0C6,rice,dietary,83,0.9393,0.9229,440,402,242.0,174.0
CCM2,Cerebral cavernous malformations 2,Q9BSQ5,Q7XIW5,rice,dietary,83,0.9393,0.9406,440,439,242.0,267.0
DBT,Maple syrup urine disease 2,P11182,P32588,yeast,dietary,83,0.9341,0.9415,478,449,249.0,229.0
ELF4,"Autoinflammatory syndrome, familial, X-linked, Behcet-like 2",Q99607,Q01448,yeast,dietary,83,0.9302,0.9285,659,621,262.0,163.0
LRIG2,Urofacial syndrome 2,O94898,P53751,yeast,dietary,83,0.9445,0.9342,1061,1112,238.0,181.0
BUD13,Achalasia-progeroid syndrome,Q9BRD0,Q6L5D4,rice,dietary,83,0.9195,0.9292,615,696,193.0,160.0
GP1BA,"Non-arteritic anterior ischemic optic neuropathy; Bernard-Soulier syndrome; Bernard-Soulier syndrome A2, autosomal domin",P07359,P38739,yeast,dietary,83,0.9363,0.9336,648,601,202.0,214.0
GP1BA,"Non-arteritic anterior ischemic optic neuropathy; Bernard-Soulier syndrome; Bernard-Soulier syndrome A2, autosomal domin",P07359,Q06325,yeast,dietary,83,0.9363,0.938,648,592,202.0,183.0
GP1BA,"Non-arteritic anterior ischemic optic neuropathy; Bernard-Soulier syndrome; Bernard-Soulier syndrome A2, autosomal domin",P07359,Q93YR9,arabidopsis,dietary,83,0.9363,0.9147,648,666,202.0,175.0
GP1BA,"Non-arteritic anterior ischemic optic neuropathy; Bernard-Soulier syndrome; Bernard-Soulier syndrome A2, autosomal domin",P07359,Q9LJU0,arabidopsis,dietary,83,0.9363,0.9262,648,668,202.0,149.0
GP1BA,"Non-arteritic anterior ischemic optic neuropathy; Bernard-Soulier syndrome; Bernard-Soulier syndrome A2, autosomal domin",P07359,Q59VR1,candida,microbial,83,0.9363,0.9298,648,574,202.0,179.0
SASH3,Immunodeficiency 102,O75995,Q9FMZ0,arabidopsis,dietary,83,0.9403,0.9411,376,333,220.0,126.0
CDH11,Elsahy-Waters syndrome; Teebi hypertelorism syndrome 2,P55287,Q9T0K5,arabidopsis,dietary,83,0.9529,0.9379,792,756,203.0,160.0
BRCA1,"Breast cancer; Breast-ovarian cancer, familial, 1; Ovarian cancer; Pancreatic cancer 4; Fanconi anemia, complementation ",P38398,F4J7T2,arabidopsis,dietary,83,0.9386,0.9242,1859,1903,170.0,119.0
CDH2,"Arrhythmogenic right ventricular dysplasia, familial, 14; Agenesis of corpus callosum, cardiac, ocular, and genital synd",P19022,Q9I3K1,pseudomonas,microbial,83,0.9158,0.8994,902,838,165.0,125.0
MRTFA,Immunodeficiency 66,Q969V6,A8MQL1,arabidopsis,dietary,83,0.9246,0.9098,927,1078,202.0,151.0
HFE,Hemochromatosis 1,Q30201,G3XCX3,pseudomonas,microbial,83,0.9481,0.9524,344,378,186.0,225.0
CORIN,"Pre-eclampsia/eclampsia 5; Cardiomyopathy, familial hypertrophic, 30, atrial",Q9Y5Q5,Q9SMY8,arabidopsis,dietary,83,0.9201,0.9051,1038,986,171.0,176.0
SHANK2,Autism 17,Q9UPX8,F4J7T3,arabidopsis,dietary,83,0.9267,0.9269,1845,1953,202.0,219.0
SHANK2,Autism 17,Q9UPX8,F4J7T2,arabidopsis,dietary,83,0.9267,0.9242,1845,1903,202.0,119.0
NTN1,Mirror movements 4,O95631,O65388,arabidopsis,dietary,83,0.9589,0.967,600,380,228.0,224.0
EPOR,"Erythrocytosis, familial, 1",P19235,P26648,ecoli,microbial,83,0.9216,0.9243,504,466,153.0,145.0
EPOR,"Erythrocytosis, familial, 1",P19235,P0A1C5,salmonella,microbial,83,0.9216,0.9216,504,466,153.0,114.0
SMAD7,Colorectal cancer 3,O15105,Q6ICX4,arabidopsis,dietary,83,0.9558,0.9522,422,428,189.0,181.0
SMAD7,Colorectal cancer 3,O15105,Q93W34,arabidopsis,dietary,83,0.9558,0.9278,422,411,189.0,168.0
SMAD7,Colorectal cancer 3,O15105,Q8I6V3,malaria,parasitic,83,0.9558,0.9482,422,449,189.0,169.0
PHOX2A,"Fibrosis of extraocular muscles, congenital, 2",O14813,Q8ZQ59,salmonella,microbial,83,0.9358,0.9334,280,287,150.0,82.0
COMP,Multiple epiphyseal dysplasia 1; Pseudoachondroplasia; Carpal tunnel syndrome 2,P49747,Q12310,yeast,dietary,83,0.9195,0.9128,753,695,182.0,187.0
COMP,Multiple epiphyseal dysplasia 1; Pseudoachondroplasia; Carpal tunnel syndrome 2,P49747,Q8H0T9,arabidopsis,dietary,83,0.9195,0.9161,753,833,182.0,120.0
AIRE,"Autoimmune polyendocrine syndrome 1, with or without reversible metaphyseal dysplasia",O43918,P36115,yeast,dietary,83,0.9337,0.9296,541,611,180.0,173.0
AIRE,"Autoimmune polyendocrine syndrome 1, with or without reversible metaphyseal dysplasia",O43918,O23305,arabidopsis,dietary,83,0.9337,0.9314,541,382,180.0,198.0
ZMIZ1,Neurodevelopmental disorder with dysmorphic facies and distal skeletal anomalies,Q9ULJ6,Q9HVM8,pseudomonas,microbial,83,0.9164,0.9067,1063,1157,128.0,109.0
FCGR2B,Systemic lupus erythematosus,P31994,Q8L817,arabidopsis,dietary,83,0.9475,0.9333,306,271,147.0,122.0
TPK1,"Thiamine metabolism dysfunction syndrome 5, episodic encephalopathy type",Q9H3S4,P9WHR7,tuberculosis,microbial,83,0.9477,0.9437,239,232,153.0,122.0
MYRF,"Encephalitis/encephalopathy, mild, with reversible myelin vacuolization; Cardiac-urogenital syndrome; Nanophthalmos 1",Q9Y2G1,P25365,yeast,dietary,83,0.9197,0.9283,1147,1061,162.0,120.0
LRRC32,"Cleft palate, proliferative retinopathy, and developmental delay",Q14392,Q94F08,arabidopsis,dietary,83,0.9404,0.9249,658,692,135.0,192.0
SOHLH1,Spermatogenic failure 32; Ovarian dysgenesis 5,Q5JUK2,Q94AN4,arabidopsis,dietary,83,0.9361,0.9221,324,341,108.0,108.0
LDLR,"Hypercholesterolemia, familial, 1",P01130,Q8H0T9,arabidopsis,dietary,83,0.9432,0.9161,856,833,149.0,120.0
IFNAR2,Immunodeficiency 45,P48551,Q59X67,candida,microbial,83,0.9231,0.9142,511,546,99.0,75.0
AMN,Imerslund-Grasbeck syndrome 2,Q9BXJ7,Q84SN3,rice,dietary,83,0.9481,0.9216,449,429,127.0,168.0
FLRT3,Hypogonadotropic hypogonadism 21 with or without anosmia,Q9NZU0,Q06325,yeast,dietary,83,0.9461,0.938,645,592,130.0,183.0
FLRT3,Hypogonadotropic hypogonadism 21 with or without anosmia,Q9NZU0,O04425,arabidopsis,dietary,83,0.9461,0.9505,645,743,130.0,135.0
FLRT3,Hypogonadotropic hypogonadism 21 with or without anosmia,Q9NZU0,Q9LUI1,arabidopsis,dietary,83,0.9461,0.9394,645,466,130.0,101.0
HNRNPDL,"Muscular dystrophy, limb-girdle, autosomal dominant 3",O14979,Q8S3D1,arabidopsis,dietary,83,0.9188,0.924,416,403,133.0,61.0
NECTIN1,"Ectodermal dysplasia, Margarita Island type; Non-syndromic orofacial cleft 7",Q15223,Q59X67,candida,microbial,83,0.9191,0.9142,513,546,85.0,75.0
CD40,Immunodeficiency with hyper-IgM 3,P25942,Q38857,arabidopsis,dietary,83,0.9341,0.9042,273,280,107.0,84.0
RUNX2,Cleidocranial dysplasia 1; Metaphyseal dysplasia with maxillary hypoplasia with or without brachydactyly,Q13950,Q0IQU1,rice,dietary,83,0.9366,0.9279,517,560,91.0,85.0
HOXA2,"Microtia, hearing impairment, and cleft palate; Microtia with or without hearing impairment",O43364,Q7XHI5,arabidopsis,dietary,83,0.9267,0.9334,372,358,105.0,164.0
HNRNPH2,"Intellectual developmental disorder, X-linked, syndromic, Bain type",P55795,Q2QM59,rice,dietary,83,0.9237,0.9167,445,293,86.0,69.0
HNRNPH2,"Intellectual developmental disorder, X-linked, syndromic, Bain type",P55795,Q9ZWA6,arabidopsis,dietary,83,0.9237,0.9257,445,502,86.0,70.0
DCT,"Albinism, oculocutaneous, 8",P40126,Q00772,yeast,dietary,83,0.9384,0.9363,515,480,83.0,87.0
ST14,"Ichthyosis, congenital, autosomal recessive 11",Q9Y5Y6,Q9SCV5,arabidopsis,dietary,83,0.9297,0.9298,851,822,86.0,143.0
DLL1,Neurodevelopmental disorder with non-specific brain abnormalities and with or without seizures,O00548,Q0E1Z0,rice,dietary,83,0.9245,0.9146,719,475,72.0,51.0
YAP1,"Coloboma, ocular, with or without hearing impairment, cleft lip/palate, and/or impaired intellectual development",P46937,Q00539,yeast,dietary,83,0.9336,0.9237,500,519,97.0,114.0
YAP1,"Coloboma, ocular, with or without hearing impairment, cleft lip/palate, and/or impaired intellectual development",P46937,Q9LVQ7,arabidopsis,dietary,83,0.9336,0.9152,500,496,97.0,109.0
IRF2BPL,"Neurodevelopmental disorder with regression, abnormal movements, loss of speech, and seizures",Q9H1B7,F4J7T6,arabidopsis,dietary,83,0.9343,0.9342,792,880,77.0,91.0
IRF2BPL,"Neurodevelopmental disorder with regression, abnormal movements, loss of speech, and seizures",Q9H1B7,Q9LS80,arabidopsis,dietary,83,0.9343,0.9164,792,831,77.0,70.0
IRF2BPL,"Neurodevelopmental disorder with regression, abnormal movements, loss of speech, and seizures",Q9H1B7,Q9SVM3,arabidopsis,dietary,83,0.9343,0.9383,792,840,77.0,68.0
IRF2BPL,"Neurodevelopmental disorder with regression, abnormal movements, loss of speech, and seizures",Q9H1B7,Q9SVN2,arabidopsis,dietary,83,0.9343,0.942,792,796,77.0,122.0
GATA1,"X-linked dyserythropoietic anemia and thrombocytopenia; Thrombocytopenia with beta-thalassemia, X-linked; Anemia without",P15976,Q8W3E8,rice,dietary,83,0.9145,0.9084,409,421,72.0,78.0
GATA1,"X-linked dyserythropoietic anemia and thrombocytopenia; Thrombocytopenia with beta-thalassemia, X-linked; Anemia without",P15976,P47180,yeast,dietary,83,0.9145,0.9103,409,357,72.0,120.0
GATA1,"X-linked dyserythropoietic anemia and thrombocytopenia; Thrombocytopenia with beta-thalassemia, X-linked; Anemia without",P15976,Q8RY29,arabidopsis,dietary,83,0.9145,0.9053,409,429,72.0,62.0
GATA1,"X-linked dyserythropoietic anemia and thrombocytopenia; Thrombocytopenia with beta-thalassemia, X-linked; Anemia without",P15976,Q9SSB7,arabidopsis,dietary,83,0.9145,0.9149,409,366,72.0,104.0
GATA1,"X-linked dyserythropoietic anemia and thrombocytopenia; Thrombocytopenia with beta-thalassemia, X-linked; Anemia without",P15976,P75858,ecoli,microbial,83,0.9145,0.9093,409,352,72.0,37.0
FAM177A1,Neurodevelopmental disorder with white matter abnormalities and gait disturbance,Q8N128,P07560,yeast,dietary,83,0.9216,0.9105,209,211,59.0,67.0
MAG,"Spastic paraplegia 75, autosomal recessive",P20916,Q84K00,arabidopsis,dietary,83,0.9239,0.9226,622,563,70.0,104.0
CSF2RA,Pulmonary surfactant metabolism dysfunction 4,P15509,Q9LUP7,arabidopsis,dietary,83,0.9137,0.9084,396,377,66.0,120.0
CD70,Lymphoproliferative syndrome 3,P32970,Q53M11,rice,dietary,83,0.9343,0.9272,189,202,63.0,56.0
EMD,"Emery-Dreifuss muscular dystrophy 1, X-linked",P50402,Q9S7S3,arabidopsis,dietary,83,0.9307,0.9117,250,276,42.0,39.0
KLK11,Ichthyosis with erythrokeratoderma,Q9UBX7,Q69XV9,rice,dietary,83,0.926,0.9265,278,256,36.0,59.0
KLK11,Ichthyosis with erythrokeratoderma,Q9UBX7,Q75I75,rice,dietary,83,0.926,0.9181,278,252,36.0,38.0
KLK11,Ichthyosis with erythrokeratoderma,Q9UBX7,O82081,arabidopsis,dietary,83,0.926,0.9198,278,257,36.0,51.0
CFAP221,"Ciliary dyskinesia, primary, 55",Q4G0U5,Q9LK35,arabidopsis,dietary,82,0.9589,0.9459,836,851,604.0,382.0
ADGRL1,"Developmental delay, behavioral abnormalities, and neuropsychiatric disorders",O94910,P30182,arabidopsis,dietary,82,0.9305,0.9165,1470,1469,624.0,641.0
TAF2,"Neurodevelopmental disorder with feeding difficulties, thin corpus callosum, and foot deformity",Q6P1X5,Q8S0F0,rice,dietary,82,0.9202,0.9143,1195,956,476.0,361.0
TNIK,"Intellectual developmental disorder, autosomal recessive 54",Q9UKE5,P0CB16,arabidopsis,dietary,82,0.9179,0.8989,1356,1197,292.0,248.0
B4GALNT1,"Spastic paraplegia 26, autosomal recessive",Q00973,Q8I6V3,malaria,parasitic,82,0.9536,0.9482,529,449,310.0,169.0
SYCP2,Spermatogenic failure 1,Q9BX26,F4I171,arabidopsis,dietary,82,0.9163,0.9294,1526,1331,304.0,381.0
SYCP2,Spermatogenic failure 1,Q9BX26,Q9FWS1,arabidopsis,dietary,82,0.9163,0.9261,1526,1446,304.0,296.0
BTNL2,Sarcoidosis 2,Q9UIR0,Q9FM99,arabidopsis,dietary,82,0.9287,0.9313,478,385,274.0,206.0
BTNL2,Sarcoidosis 2,Q9UIR0,Q9I060,pseudomonas,microbial,82,0.9287,0.9308,478,595,274.0,256.0
ATL3,"Neuropathy, hereditary sensory, 1F",Q6DD88,P9WFV9,tuberculosis,microbial,82,0.9184,0.9066,537,486,313.0,255.0
KLKB1,Prekallikrein deficiency,P03952,Q0JGS5,rice,dietary,82,0.9575,0.9569,634,679,248.0,216.0
PDZD8,Intellectual developmental disorder with autism and dysmorphic facies,Q8NEN9,Q9LP46,arabidopsis,dietary,82,0.9202,0.9148,1150,1016,237.0,203.0
DBT,Maple syrup urine disease 2,P11182,P22336,yeast,dietary,82,0.9341,0.9145,478,617,249.0,253.0
DBT,Maple syrup urine disease 2,P11182,P38439,yeast,dietary,82,0.9341,0.9306,478,460,249.0,209.0
BUD13,Achalasia-progeroid syndrome,Q9BRD0,Q8W4H1,arabidopsis,dietary,82,0.9195,0.9019,615,506,193.0,175.0
BUD13,Achalasia-progeroid syndrome,Q9BRD0,Q5AI80,candida,microbial,82,0.9195,0.9178,615,675,193.0,104.0
SASH3,Immunodeficiency 102,O75995,Q9M8K5,arabidopsis,dietary,82,0.9403,0.9435,376,469,220.0,113.0
CNTNAP1,"Lethal congenital contracture syndrome 7; Neuropathy, congenital hypomyelinating, 3",P78357,P11978,yeast,dietary,82,0.9147,0.9066,1380,1354,179.0,153.0
CNTNAP1,"Lethal congenital contracture syndrome 7; Neuropathy, congenital hypomyelinating, 3",P78357,P40438,yeast,dietary,82,0.9147,0.8989,1380,1545,179.0,239.0
TMEM132E,"Deafness, autosomal recessive, 99",Q6IEE7,P53751,yeast,dietary,82,0.9253,0.9342,1070,1112,205.0,181.0
JPH3,Huntington disease-like 2,Q8WXH2,O80809,arabidopsis,dietary,82,0.9294,0.9293,744,716,216.0,198.0
MRTFA,Immunodeficiency 66,Q969V6,Q0WV12,arabidopsis,dietary,82,0.9246,0.9185,927,798,202.0,256.0
HFE,Hemochromatosis 1,Q30201,Q8H859,rice,dietary,82,0.9481,0.9572,344,350,186.0,201.0
HFE,Hemochromatosis 1,Q30201,Q8H1G6,arabidopsis,dietary,82,0.9481,0.9028,344,357,186.0,131.0
GRIN2A,"Epilepsy, focal, with speech disorder and with or without impaired intellectual development",Q12879,Q9FWQ5,arabidopsis,dietary,82,0.913,0.8908,1460,1702,167.0,207.0
GRIN2A,"Epilepsy, focal, with speech disorder and with or without impaired intellectual development",Q12879,Q9XER9,arabidopsis,dietary,82,0.913,0.9159,1460,1388,167.0,223.0
CORIN,"Pre-eclampsia/eclampsia 5; Cardiomyopathy, familial hypertrophic, 30, atrial",Q9Y5Q5,P15877,ecoli,microbial,82,0.9201,0.9128,1038,792,171.0,145.0
NTN1,Mirror movements 4,O95631,Q9C8N7,arabidopsis,dietary,82,0.9589,0.9353,600,594,228.0,209.0
EPOR,"Erythrocytosis, familial, 1",P19235,Q5AJC0,candida,microbial,82,0.9216,0.8931,504,466,153.0,113.0
SMAD7,Colorectal cancer 3,O15105,O64763,arabidopsis,dietary,82,0.9558,0.9631,422,374,189.0,205.0
UNC5C,Alzheimer disease,O95185,Q75J39,rice,dietary,82,0.9244,0.925,927,897,133.0,178.0
PHOX2A,"Fibrosis of extraocular muscles, congenital, 2",O14813,Q9AWS0,rice,dietary,82,0.9358,0.9391,280,361,150.0,110.0
PHOX2A,"Fibrosis of extraocular muscles, congenital, 2",O14813,P9WHR7,tuberculosis,microbial,82,0.9358,0.9437,280,232,150.0,122.0
COMP,Multiple epiphyseal dysplasia 1; Pseudoachondroplasia; Carpal tunnel syndrome 2,P49747,P36115,yeast,dietary,82,0.9195,0.9296,753,611,182.0,173.0
COMP,Multiple epiphyseal dysplasia 1; Pseudoachondroplasia; Carpal tunnel syndrome 2,P49747,F4JGB6,arabidopsis,dietary,82,0.9195,0.9184,753,807,182.0,128.0
COMP,Multiple epiphyseal dysplasia 1; Pseudoachondroplasia; Carpal tunnel syndrome 2,P49747,F4KHA2,arabidopsis,dietary,82,0.9195,0.9165,753,788,182.0,69.0
TRDN,"Cardiac arrhythmia syndrome, with or without skeletal muscle weakness",Q13061,Q9LJW7,arabidopsis,dietary,82,0.9386,0.9289,725,707,143.0,194.0
GALT,Galactosemia 1,P07902,Q2V452,arabidopsis,dietary,82,0.9681,0.9551,375,437,168.0,289.0
GALT,Galactosemia 1,P07902,P9WQL3,tuberculosis,microbial,82,0.9681,0.9642,375,365,168.0,253.0
ZMIZ1,Neurodevelopmental disorder with dysmorphic facies and distal skeletal anomalies,Q9ULJ6,Q6YZW0,rice,dietary,82,0.9164,0.8983,1063,1112,128.0,113.0
ZMIZ1,Neurodevelopmental disorder with dysmorphic facies and distal skeletal anomalies,Q9ULJ6,P34758,yeast,dietary,82,0.9164,0.9119,1063,868,128.0,162.0
ZMIZ1,Neurodevelopmental disorder with dysmorphic facies and distal skeletal anomalies,Q9ULJ6,P93022,arabidopsis,dietary,82,0.9164,0.9355,1063,1160,128.0,170.0
ZMIZ1,Neurodevelopmental disorder with dysmorphic facies and distal skeletal anomalies,Q9ULJ6,Q8VZ10,arabidopsis,dietary,82,0.9164,0.9097,1063,1051,128.0,66.0
ZMIZ1,Neurodevelopmental disorder with dysmorphic facies and distal skeletal anomalies,Q9ULJ6,Q9SCV9,arabidopsis,dietary,82,0.9164,0.9122,1063,852,128.0,145.0
TPK1,"Thiamine metabolism dysfunction syndrome 5, episodic encephalopathy type",Q9H3S4,B4FFK9,maize,dietary,82,0.9477,0.9264,239,248,153.0,79.0
ARR3,"Myopia 26, X-linked, female-limited",P36575,Q5ABV4,candida,microbial,82,0.9065,0.9136,384,373,120.0,185.0
ATXN1,Spinocerebellar ataxia 1,P54253,P32499,yeast,dietary,82,0.9327,0.9093,811,716,148.0,168.0
NFIA,Brain malformations with or without urinary tract defects,Q12857,P27705,yeast,dietary,82,0.9618,0.9662,505,500,159.0,301.0
LRP8,Myocardial infarction 1,Q14114,Q9LP46,arabidopsis,dietary,82,0.9256,0.9148,959,1016,141.0,203.0
LRRC32,"Cleft palate, proliferative retinopathy, and developmental delay",Q14392,Q04779,yeast,dietary,82,0.9404,0.9337,658,680,135.0,353.0
LRRC32,"Cleft palate, proliferative retinopathy, and developmental delay",Q14392,O80809,arabidopsis,dietary,82,0.9404,0.9293,658,716,135.0,198.0
LRRC32,"Cleft palate, proliferative retinopathy, and developmental delay",Q14392,Q9ZVT1,arabidopsis,dietary,82,0.9404,0.9307,658,666,135.0,276.0
LDLR,"Hypercholesterolemia, familial, 1",P01130,P53751,yeast,dietary,82,0.9432,0.9342,856,1112,149.0,181.0
LDLR,"Hypercholesterolemia, familial, 1",P01130,Q8LPQ9,arabidopsis,dietary,82,0.9432,0.9211,856,897,149.0,120.0
IFNAR2,Immunodeficiency 45,P48551,Q0DHL5,rice,dietary,82,0.9231,0.8991,511,536,99.0,100.0
AMN,Imerslund-Grasbeck syndrome 2,Q9BXJ7,Q6I5Y0,rice,dietary,82,0.9481,0.9336,449,515,127.0,112.0
AMN,Imerslund-Grasbeck syndrome 2,Q9BXJ7,Q9M439,arabidopsis,dietary,82,0.9481,0.9212,449,384,127.0,120.0
POMGNT1,Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A3; Muscular dystrophy-dystroglycanopathy ,Q8WZA1,Q53WK1,rice,dietary,82,0.9385,0.9262,656,740,95.0,175.0
